,Country Name,Country Code,GDP (current US$),"GNI per capita, Atlas method (current US$)",gdp_per_worker_2021_ppp,"Agriculture, forestry, and fishing, value added (% of GDP)",Gross savings (% of GDP),Final consumption expenditure (annual % growth),Consumer price index (2010 = 100),GDP growth (annual %),Year
60,Algeria,DZA,239899491128,4960,59416.25306,13.15335871,41.2259377,3.5,198.5508576,4.1,2023
61,East Asia & Pacific (excluding high income),EAP,21150247849983,10446.11547,37898.3999,7.768250705,,7.22897681,,5.068522137,2023
62,Early-demographic dividend,EAR,14847823837515,4207.69479,29312.1345,10.63662615,26.16609765,3.982469274,,4.043778513,2023
63,East Asia & Pacific,EAS,30775659199420,13712.4644,43715.01984,5.785588374,,6.37822517,,4.095178604,2023
64,Europe & Central Asia (excluding high income),ECA,2098349713814,7691.872477,62483.95721,7.19108968,24.76570809,9.715895667,,4.606589529,2023
65,Europe & Central Asia,ECS,27240628835585,29061.17309,99707.98491,2.092175375,25.19629926,1.663263302,,0.9640329418,2023
66,Ecuador,ECU,118844826000,6510,30337.74848,7.677376716,23.49697163,1.811701659,131.0210694,2.355217907,2023
67,"Egypt, Arab Rep.",EGY,395926075163,3900,61008.59098,10.60031116,11.17857342,3.276150984,486.3428945,3.759005419,2023
68,Euro area,EMU,15544858680874,44016.66044,121199.5659,1.541181686,25.39605593,0.604984673,,0.4468370459,2023
69,Eritrea,ERI,,,,,,,,,2023
70,Spain,ESP,1580694712516,32180,105864.8515,2.34217509,22.85969546,2.30063802,127.9574347,2.50329436,2023
71,Estonia,EST,40744848828,27240,81695.70649,2.17244644,23.28583524,-0.6706939287,165.8601638,-3.005590126,2023
72,Ethiopia,ETH,163697927594,1130,5948.685461,35.78979912,19.17640605,5.708875211,858.4234518,6.498134642,2023
73,European Union,EUU,18349388450766,40328.53723,115885.1274,1.684602031,25.65876285,0.544501952,,0.4506523775,2023
74,Fragile and conflict affected situations,FCS,1906801170088,1827.843707,11817.67952,17.13927049,,,,1.633343996,2023
75,Finland,FIN,300187202696,53390,119864.8418,2.532552904,21.38764152,1.696416633,131.0408203,-1.035375693,2023
76,Fiji,FJI,5494797541,5580,33962.80595,8.286929646,,,,8.026408625,2023
77,France,FRA,3030904089608,45070,127281.6627,1.924155399,23.01126419,0.5277778487,124.0273452,0.7037185466,2023
78,Faroe Islands,FRO,,,,,,,,,2023
79,"Micronesia, Fed. Sts.",FSM,460000000,4150,,22.46854348,,,,0.7843137255,2023
80,Gabon,GAB,20516134389,7960,79313.82421,5.816178761,,1.89475054,135.7060433,2.263232088,2023
81,United Kingdom,GBR,3340032380668,47800,109653.166,0.7287549131,15.39234257,0.3527945148,142.7408914,0.1040178492,2023
82,Georgia,GEO,30535530479,6680,51152.53196,6.006701393,22.64878818,3.64653236,176.6230167,7.474479094,2023
83,Ghana,GHA,76370394412,2340,15994.03098,21.10265098,14.07304593,7.078180553,609.9725886,2.944785831,2023
84,Gibraltar,GIB,,,,,,,,,2023
85,Guinea,GIN,23612295818,1360,13609.66317,28.19579377,,-6.416208988,389.9545669,7.061960029,2023
86,"Gambia, The",GMB,2339904157,830,8509.583315,24.6275851,,3.246886035,256.2674991,5.295996638,2023
87,Guinea-Bissau,GNB,1966461400,900,7245.881631,33.7082787,,0.3368839836,,4.248282297,2023
88,Equatorial Guinea,GNQ,12116922539,5240,53376.19128,2.884924653,,2.299060166,,-5.691583464,2023
89,Greece,GRC,238206312633,22580,90697.54719,3.785124281,11.75361655,1.775534151,115.6101434,2.011520943,2023
90,Grenada,GRD,1320334236,9800,,3.268532648,,,114.3812359,4.809286899,2023
91,Greenland,GRL,,,,,,,,,2023
92,Guatemala,GTM,102050473864,5580,31752.18802,9.249450905,19.25559152,3.65760769,174.5936721,3.484484727,2023
93,Guam,GUM,,,,,,,,,2023
94,Guyana,GUY,16786302158,20360,153253.7399,,,,134.4780579,33.01688299,2023
95,High income,HIC,67653743404264,48223.72917,115728.6461,,,,,1.644160342,2023
96,"Hong Kong SAR, China",HKG,382054574299,55200,132254.9572,,24.9261692,5.237772887,142.6109484,3.21505497,2023
97,Honduras,HND,34400509852,2900,15796.85747,11.9797587,18.98154322,4.562393084,189.1167789,3.582603626,2023
98,Heavily indebted poor countries (HIPC),HPC,1130472157493,1132.608856,8290.182349,20.8032941,,2.729720158,,4.41181393,2023
99,Croatia,HRV,82688842717,20670,97450.56059,2.997146656,24.012794,2.955167593,134.8783107,3.060871288,2023
100,Haiti,HTI,19850829758,1740,7715.004745,18.15397552,,0.429640906,559.7415384,-1.863884203,2023
101,Hungary,HUN,212388906459,19820,81010.13729,4.690144135,26.31109269,-1.077001103,177.3411199,-0.9076859561,2023
102,IBRD only,IBD,38733043068565,7931.077733,39185.71908,7.822681968,,5.402980736,,4.447556758,2023
103,IDA & IBRD total,IBT,41559721641425,6164.249758,33146.18082,8.607894516,,5.174294478,,4.363221195,2023
104,IDA total,IDA,2828041013610,1531.338398,12948.5647,19.41316676,,2.121039396,,3.296311085,2023
105,IDA blend,IDB,1044015231916,1831.067118,16930.29679,21.87406747,,,,2.526256901,2023
106,Indonesia,IDN,1371171152331,4870,28652.3561,12.52930692,35.9478957,4.691332344,169.0567,5.048105771,2023
107,IDA only,IDX,1786070910237,1384.116254,11023.66893,18.05123489,,1.588491236,,3.998148258,2023
108,Isle of Man,IMN,,,,,,,,,2023
109,India,IND,3549918918778,2540,23150.41161,15.9660077,30.56294369,3.017624573,216.862025,7.583971124,2023
110,Not classified,INX,,,,,,,,,2023
111,Ireland,IRL,545629450404,80390,230223.9098,0.8775886078,36.99784434,2.725869357,124.5944807,-3.19878596,2023
112,"Iran, Islamic Rep.",IRN,401504514719,4680,54128.94397,13.01394158,,2.703377385,2140.219429,4.952163169,2023
113,Iraq,IRQ,250842782139,5600,57445.8517,2.804395432,,,,-2.93555774,2023
114,Iceland,ISL,31020032583,79840,112788.7349,3.88685873,25.34654625,1.043251924,163.1995944,4.06379899,2023
115,Israel,ISR,509901495702,55020,107023.7375,,31.21945129,1.844330054,118.7541544,1.997039988,2023
116,Italy,ITA,2254851212732,38200,130646.5019,1.940005436,21.27504741,1.222880806,128.6172919,0.9206922138,2023
117,Jamaica,JAM,19423355367,6150,19806.58128,9.023869169,,,212.6743399,2.200061472,2023
118,Jordan,JOR,50813642349,4460,43077.93887,4.803824756,,,135.8958407,2.61548743,2023
119,Japan,JPN,4212945159781,39030,85334.60305,,,,111.3640359,1.923055531,2023
120,Kazakhstan,KAZ,261421121086,10940,77189.93166,4.284762979,,,288.0359136,5.1,2023
121,Kenya,KEN,107440575838,2110,13045.99973,21.30103501,,5.103855511,246.2952568,5.425816151,2023
122,Kyrgyz Republic,KGZ,13987627909,1700,15438.44184,9.654700615,,,233.7095757,6.151391837,2023
123,Cambodia,KHM,31772759999,1810,9383.016958,21.48830803,57.09754889,-16.82034483,148.3066239,5.4,2023
124,Kiribati,KIR,279034355.1,3730,,,,,,4.285714286,2023
125,St. Kitts and Nevis,KNA,1077033111,21380,,1.385149478,,,110.8238459,3.431152293,2023
126,"Korea, Rep.",KOR,1712792854202,35490,90734.70671,1.595605728,33.77129454,1.660479786,129.1959648,1.356733243,2023
127,Kuwait,KWT,161772221951,46140,90873.94807,,,,144.0723914,-2.230093463,2023
128,Latin America & Caribbean (excluding high income),LAC,6050580948760,9028.386764,40892.3242,5.890926517,16.8253809,2.698902418,,2.151256544,2023
129,Lao PDR,LAO,15843155731,2120,21014.78624,16.13905684,,,239.0715447,3.745681402,2023
130,Lebanon,LBN,,,,,,,5336.650592,,2023
131,Liberia,LBR,4332000000,730,3659.934835,34.9344506,,,,4.711025384,2023
132,Libya,LBY,50491722446,7570,62420.27557,1.585141217,,-6.998921885,278.2639466,-1.672589946,2023
133,St. Lucia,LCA,2519925939,12400,47491.10521,0.919927095,,,123.3264128,3.19001,2023
134,Latin America & Caribbean,LCN,7094329636593,9566.21695,42568.9158,6.561953233,16.91828382,2.366842627,,2.153083954,2023
135,Least developed countries: UN classification,LDC,1504251159792,1272.9999,10162.20406,18.85409816,,0.8994754361,,3.71887839,2023
136,Low income,LIC,646797730009,769.2361347,5767.443897,24.42445492,,1.37432437,,3.005654742,2023
137,Liechtenstein,LIE,,,,,,,,,2023
138,Sri Lanka,LKA,84356860421,3540,35321.86176,8.281012755,27.22818201,-2.170430229,308.2856876,-2.298045112,2023
139,Lower middle income,LMC,7384750127842,2513.117504,21904.90274,15.45614109,26.84557735,2.798050003,,5.291647256,2023
140,Low & middle income,LMY,37425214512640,5763.817975,31027.34335,9.029573261,,5.339956272,,4.519073209,2023
141,Lesotho,LSO,2046039024,1160,6984.258501,6.344360532,,,199.7794732,0.8981497778,2023
142,Late-demographic dividend,LTE,28341396914858,12400.83445,46557.17738,6.273332973,,5.930137038,,4.189950212,2023
143,Lithuania,LTU,77836396963,24820,94041.60445,2.986257959,20.81946658,-0.7480478332,163.8138656,-0.3360862445,2023
144,Luxembourg,LUX,85755006124,88370,265619.8104,0.2290087828,16.99917796,3.483334435,131.2339612,-1.095723616,2023
145,Latvia,LVA,43627078481,21970,77829.99605,4.167304451,18.78218664,0.7081146931,154.5679254,-0.2825395584,2023
146,"Macao SAR, China",MAC,47061843716,,179638.5945,,,5.444584954,,80.534216,2023
147,St. Martin (French part),MAF,,,,,,,,,2023
148,Morocco,MAR,141109373209,3700,30448.98926,11.96484495,27.53611362,1.618027422,128.3386413,3.177946835,2023
149,Monaco,MCO,,,,,,,,,2023
150,Moldova,MDA,16539436547,6110,27033.84103,7.619443029,8.943714748,-0.7578956479,264.6598397,0.7832427097,2023
151,Madagascar,MDG,16031702915,530,3297.954856,21.06010477,,3.224651893,241.5104817,3.985371013,2023
152,Maldives,MDV,6600000000,11030,46741.90835,,,,142.6407821,3.972795846,2023
153,Middle East & North Africa,MEA,4287684126920,8731.838035,67468.52975,4.935555458,,2.9654149,,1.780039753,2023
154,Mexico,MEX,1788886821047,12100,49241.1675,3.96265623,19.67852084,4.017283117,176.1160036,3.228736756,2023
155,Marshall Islands,MHL,284000000,7570,,,,,,3.225998994,2023
156,Middle income,MIC,36786942112905,6379.050653,33241.23616,8.766954253,,5.409118906,,4.539564994,2023
157,North Macedonia,MKD,14761237042,7660,60997.17738,6.984562419,24.54811848,1.879155166,147.9575,1.027415135,2023
158,Mali,MLI,20904898296,860,7147.73047,36.78062709,,4.732888888,126.9699169,5.236577528,2023
159,Malta,MLT,20956999452,34240,103733.8941,0.729591792,,6.354011645,129.2851066,5.613927783,2023
160,Myanmar,MMR,64815031669,1210,13077.19158,20.4297837,,,,1.002238343,2023
161,Middle East & North Africa (excluding high income),MNA,1646554468702,3968.050991,54029.15341,10.17597232,,2.032759542,,2.727094357,2023
162,Montenegro,MNE,7404541965,11500,70021.35375,5.551832949,15.70534417,4.921082056,146.3721851,5.981903216,2023
163,Mongolia,MNG,19872180370,4950,42399.18719,10.19230084,31.3839521,7.202553893,277.1628015,7.022991875,2023
164,Northern Mariana Islands,MNP,,,,,,,,,2023
165,Mozambique,MOZ,20624597847,530,3460.072588,,,,237.2223136,5.000024173,2023
166,Mauritania,MRT,10452577063,2150,28855.09532,19.92719175,,2.941239042,164.5723692,3.383555191,2023
167,Mauritius,MUS,14397127281,11530,59948.81852,3.838009691,16.68175231,1.460582067,164.4031926,6.952287986,2023
168,Malawi,MWI,14084341062,640,4434.852934,22.07797362,,,773.9395718,1.539641712,2023
169,Malaysia,MYS,399648828547,11970,69044.73518,7.744488304,23.84525403,4.589584741,130.3782703,3.680282186,2023
170,North America,NAC,29509296092074,77494.10167,145218.3492,,,,,2.429616697,2023
171,Namibia,NAM,12351024844,4870,37680.59443,7.718255122,11.16148642,3.797146135,187.9074214,4.159985738,2023
172,New Caledonia,NCL,,,,,,,,,2023
173,Niger,NER,16819170421,600,4376.093672,47.81317389,,4.200000001,126.2518045,2.5,2023
174,Nigeria,NGA,362814951696,1930,17456.57446,22.72493804,,,524.9053647,2.860214991,2023
175,Nicaragua,NIC,17829215284,2270,16431.82368,15.3372694,30.22080678,5.739099438,211.9839691,4.569732333,2023
176,Netherlands,NLD,1118124749886,60670,128499.1942,1.516508298,30.10595768,1.574036894,137.6663907,0.1160086345,2023
177,Norway,NOR,485513316504,102460,172014.3452,2.116155963,43.2387624,0.85186831,140.684101,0.5141182266,2023
178,Nepal,NPL,40908073367,1370,18136.25695,21.18955084,36.38325033,-1.239872488,238.1064792,1.952544633,2023
179,Nauru,NRU,154127798.2,22090,,,,,,0.7042253521,2023
180,New Zealand,NZL,253465703232,48610,86252.88453,,,,136.8628745,0.6322423616,2023
181,OECD members,OED,64098865773303,46071.17315,109842.088,,,,,1.666535386,2023
182,Oman,OMN,108192457737,21540,81519.54661,,,,119.38613,1.3,2023
183,Other small states,OSS,234402049501,15754.60738,67938.72151,2.687835038,,2.637013881,,2.479947458,2023
184,Pakistan,PAK,338368455318,1500,17634.35917,23.37369579,12.95479016,1.656709205,343.4210793,-0.004855269399,2023
185,Panama,PAN,83382400000,18010,82596.96337,2.435650354,,,127.4960579,7.316777417,2023
186,Peru,PER,267603248655,6990,28951.47419,,19.49482977,0.663591972,159.8164418,-0.5501823063,2023
187,Philippines,PHL,437146372730,4230,23519.1747,9.39675018,27.31602433,4.712222991,154.6917447,5.545851171,2023
188,Palau,PLW,263020733.7,14250,,,,,157.8896538,0.4484304933,2023
189,Papua New Guinea,PNG,30932496250,2840,13660.62332,,,,183.9472178,2.681010484,2023
190,Poland,POL,811229100688,19730,90423.80155,2.918416474,19.60710105,-0.05108116173,158.1560804,0.160586011,2023
191,Pre-demographic dividend,PRE,1562533897054,1463.630035,12027.46734,16.79854577,,,,2.36676205,2023
192,Puerto Rico,PRI,117902300000,25240,127325.7847,0.6936251456,,2.91217814,,0.5635194268,2023
193,"Korea, Dem. People's Rep.",PRK,,,,,,,,,2023
194,Portugal,PRT,287080013574,26270,86619.07598,2.037875639,20.51783715,1.528842069,125.9913286,2.261254781,2023
195,Paraguay,PRY,42956263544,6200,32999.38734,11.34884912,20.09712093,2.873376788,176.146423,4.714124079,2023
196,West Bank and Gaza,PSE,17396300000,4220,,,10.06565363,-4.394116299,124.1879805,-5.508794372,2023
197,Pacific island small states,PSS,11232231820,4298.059141,17907.87354,,,,,5.75845168,2023
198,Post-demographic dividend,PST,59851800976561,53646.50918,121876.2768,,,,,1.689320846,2023
199,French Polynesia,PYF,,,,,,,,,2023
200,Qatar,QAT,,,,,,,124.4448347,,2023
201,Romania,ROU,351002579630,16670,98768.77784,3.935858887,18.67805333,3.505853106,167.6561281,2.148476996,2023
202,Russian Federation,RUS,2021421476035,14250,82940.97695,3.348558891,29.92867114,6.610801588,,3.6,2023
203,Rwanda,RWA,14097768648,980,9502.826468,27.0533066,12.52681829,6.652587976,233.0359265,8.241286965,2023
204,South Asia,SAS,4475567635413,2388.131069,22322.6714,15.98193969,29.15460962,2.614656288,,6.35285494,2023
205,Saudi Arabia,SAU,1067582933333,28690,113848.3563,2.714942864,32.46664586,5.473569575,132.3643698,-0.7549148106,2023
206,Sudan,SDN,109327023589,990,12641.52835,5.591538962,,-13.43406985,,-12.0467792,2023
207,Senegal,SEN,31013986429,1660,15168.72452,16.3694562,,0.637612199,,3.699996361,2023
